이름,테마,텍스트
용머리해안,1,바다 소리를 들을 수 있는 곳이다. 신비로운 장관이 멋있다. 암벽의 침식 지대가 펼쳐지고 파도가 해안 절벽을 때려서 만든 아름다움 절경이 펼쳐진다. 
용두암,1,바위가 용의 머리를 닮아서 용두암이다. 배경이 정말 아름답고 내려가는 출입구에 해녀 동상이 있다. 
마라도,1,"배를 타고 마라도에 간다. 산책을 하면서 일출과 일몰을 보아도 되고, 등대도 아름답고 힐링을 할 수 있는 곳이다. 해안길 따라 걷고 짜장면이 유명하다. "
우도,1,"바다가 예쁘고 맑은 물이 더욱 아름답니다. 푸른 초원을 배경으로 사진을 찍을 수 있고, 섬속의 섬이다. 힐링을 할 수 있다. 바닷바람을 느낄 수 있다. 해변이 아름답고 검멀레 해변이 아름잡다. 멋있고 웅장하다. "
가파도,1,선착장에서 배를 기다리며 보는 바다가 아름답다. 제주 올레길 코스이다. 시원한 바람과 바다를 느낄 수 있다. 아름답고 고운 섬이고 강한 보리순의 생명력 같은 활기가 숨어 있는 섬이다. 바다가 은빛과 금빛을 보인다.  
돌문화 공원,2,돌의 문화에 대한 전시관이다. 제주도의 전반적인 역사를 알 수 있다. 돌길을 걸으면서 다양한 돌과 전통 돌한마을을 구경할 수 있다. 건축물이 아름답다. 
삼성혈,2,제주 역사를 재미있게 알 수 있다. 탐라국의 역사가 시작되는 곳이라는 것을 알 수 있다. 미리 공부를 해가는 것이 좋다. 제주 시조의 탄생 설화 및 전설에 관련된 유적과 유물의 자료를 볼 수 있다.
추사관,2,추사 김정희의 글과 그림의 작품을 모아 놓은 박물관이다. 추사관 건물과 유배지를 둘러보며 한적하게 구경할 수 있다. 
제주목 관야,2,옛날의 제주도의 모습을 상상할 수 있는 공간. 내가 사또가 되어 관청을 둘러보는 재미가 있는 역사적인 의미가 있다. 조선 시대부터 통치하던 전 정부 관저입니다. 역사적인시기에 제주가 어떻게 통치되고 있었는지 알려주기 때문에 매우 유익한 방문 장소. 정부 주택의 건축은 아름답습니다. 
선운정사 ,2,선운정사는 사찰로 야경이 아름답다. 소원의 돌 체험을 할 수 있다. 밤에 산책하기 좋다. 
김영갑갤러리 두모악,2,김영갑 갤러리에서 사진도 보고 미술관이다. 풍경사진을 볼 수 있다. 작가의 전시관이다. 
이중섭거리,2,"이중섭 문화 거리에서 공연이 있고, 미술관도 있다. 구경할 것이 많다. 공예품이나 기념품이 있다. 예술품들이 있다."
관덕정,2,문화재 석굴암을 볼 수 있다. 작은 동굴 속에 불상들도 볼 수 있다. 역사적 유물이다.  
너븐숭이 4.3기념관,2,"제주 43 사건과 관련된 아픈 역사를 담고 있는 전시관이다. 4.3 사건의 희생자들, 유적지에 대한 것이 있고 추모를 할 수 있는 공간이다. 아픈 역사를 잊지 않고 추모할 수 있는 전시관이다."
제주민속촌,2,기와로된 민속촌 옛 마을을 둘러볼 수 있다. 옛날 생활 풍습을 엿 볼 수 있다.
항파두리항몽유적지,2,유적지라는 역사적인 의미가 있다. 해바라기밭도 있고 코스모스도 있다. 항몽 당시의 역사를 알 수 있는 곳이다. 우리 민족의 아픔이 있는 장소이다.
성읍마을,2,제주의 옛모습을 고스란히 엿볼 수 있는곳이다. 성읍 민속마을 에서 돌하루와 전통가옥을 볼 수 있다. 물양동이 체험의 민속 체험을 할 수 있다. 
제주세계자연유산센터,2,"제주 세계자연유산센터는 대한민국에서 유일한 유네스코 세계자연유산으로서의 가치를 널리 알리기 위해 조성되었다.
제주 세계자연유산의 효율적 관리 및 보전을 위한 시스템을 위해 힘쓰고 있다.
유네스코 제주세계자연유산센터에서 화산활동을 통해 생성된 제주, 용암동굴, 한라산의 다양한 식생, 용암동굴, 미래의 자연유산 등 제주 자연의 숨결을 느끼고 경험해볼 수 있다."
제주 민속 자연사 박물관,2,"전시관은 제주상징관과 자연사전시실, 민속전시실, 바다전시관 등으로 나뉘어져 있다. 박물관 입구에서 바로 이어진 제주상징관에서는 제주의 탄생과 여러 설화에 대해 알아볼 수 있다. 반은 산에서, 반은 바다에서 살았다는 전설적인 생물인 산갈치 실물 전시도 시선을 끈다. "
제주 4.3 평화공원,2,제주 4.3 사건의 아픈 역사를 기억할 수 있는 곳이다. 많은 희생자들을 추모하고 기억할 수 있는 역사적인 곳이다.
아침미소목장 ,0,젖소를 볼 수 있고 우유 주기 체험을 할 수 있는 곳이다. 힐링 목작이다.
제주레일바이크,0,경치 좋은 곳에서 레일 바이크를 탈 수 있는 곳이다. 주변 풍경이 아름답고 레일 바이크를 타면서 다리 운동을 할 수 있는 곳이다.
서귀포잠수함,0,"항구에서 해상탑승장으로 배로 이동하여 잠수함에 탑승하여 바닷속을 구경하고 다시 올라와서 탑승장에서 항구로 이동한다. 수심 41m까지 잠수하며 산호초군락, 물고기 및 난파선을 구경할수 있으며 다이버께서 물고기를 몰고오는 장관도 구경할수 있습니다."
아날로그감귤밭,0,감귤 따는 체험을 할 수 있고 사진도 찍을 수 있다. 귤 따는 체험을 할 수 있다. 귤따기. 귤따기체험.
피시픽리솜 요트투어,0,"아름답게 물든 바다와 하늘 사이, 바다 한가운데서 보는 일출과 일몰은 형용할 수 없는 감동을 선사한다. 요트 위에서 짜릿한 손맛을 느끼고, 갓 잡은 생선회를 맛보며 주상절리를 매우 가까이에서 볼 수 있고, 요트 물살을 따라 헤엄치는 야생 돌고래와 만날 수도 있다. 바다수영, 스노클링, 프러포즈 등 별도의 특별한 요트 체험까지 가능하다."
제주레포츠랜드 ,0,카트장이 넓고 카트를 탈 수 있다. 스릴 있고 재미있다.
월정리 카약 체험,0,아름다운 바다를 보며 카약 체험을 할 수 있다.
제주김녕미로공원,0,제한된 시간 안에 복잡한 미로에서 즐거운 활동과 체험을 할 수 있다. 미로에서 탈출하기 위해 길찾기를 해야 한다.
애코랜드,0,기차를 타며 아름다운 경치를 감상할 수 있다. 예쁜 사진도 찍고 기차를 좋아하는 아이와 함께 가기 좋다.
테디베어박물관 ,0,테디 베어와 사진 찍기 좋다. 테디에 대한 이야기들도 많다. 곰인형을 좋아하는 사람이나 예술 작품 좋아하는 사람들에게 좋다. 
아쿠아플라넷,0,"엄청난 규모로 대형 수족관이 있고 다양한 물고기를 볼 수 있다. 환상적인 공연도 있고 수족관이 굉장히 크다. 바다코끼리, 상어, 가오리, 돌고래 등을 볼 수 있다."
수월봉 지질트레일,0,"경관이 아름다우며, 유네스코에서 지정한 세계지질공원이다. 수려한 지질자원과 풍경을 즐길 수 있는 트레일 코스다."
오설록티뮤지엄,0,"푸른 녹차밭이 펼쳐지는 제주도 서광다원 입구에 위치하고 있다.
동서양 전통과 현대가 조화를 이룬 문화의 공간이자, 자연 친화적인 휴식공간으로, 건물 전체가 녹차잔을 형상화하여 만들어졌다.
녹차와 한국 전통 차문화를 이해할 수 있는 학습공간으로 설록차의 모든 것을 체험해 볼 수 있는 곳이다.푸른 녹차밭이 펼쳐지는 제주도 서광다원 입구에 위치하고 있다."
제주 유리의 성,0,"유리로 만든 많은 조형물, 공예품, 작품들을 볼 수 있다. 예쁘게 꾸며져 있고 직접 유리 공예 제작 과정도 볼 수 있다. "
제주 더 마 파크,0,"카트, 승마, 공연, 동물원이 모여있다. 스피드 있는 카트를 탈 수 있고 다양한 묘기와 공연을 볼 수 있다. "
